title,author,isbn,book_type,genre,sub_genre,topic,lexile_rating,grade,owned
100 Cupboards,N. D. Wilson,,Fiction,,,,,4,
"20,000 Leagues Under the Sea",Jules Verne,,Fiction,,,,,4,Kindle
A Christmas Carol,Charles Dickens,,Fiction,,,,,6,
A Coming Evil,Vivian Velde,,,,,,,8,
A Connecticut Yankee in King Arthur’s Court,Mark Twain,,,,,,,8,
A Gathering of Days: A New England Girl’s Journal,Joan Blos,,Non-Fiction,,,,,7,
A Gift for Tia Rosa,Karen Taha,,Fiction,,,,,2,
A Light in the Attic,"Silverstein, Shel.",,Fiction,,,,,1,
A Lion to Guard Us,Clyde Bulla,,Fiction,,,,,3,
A Little Princess,Frances H. Burnett,,Fiction,,,,,4,
A Midsummer Night’s Dream,William Shakespeare,,Fiction,Play,,,,6,
A New Coat for Anna,Harriet Ziefert,,Fiction,,,,,2,
A Short History of Almost Everything,Bill Bryson,,,"Science; History
",,,,8,
A Stillness At Appomattox,Bruce Catton,,,,,,,8,
A Tale of Two Cities,Charles Dickens,,,,,,,8,
A Tour of the Calculus,David Berlinski,,,Math,,,,8,
A Wrinkle in Time,Madeliene L'Engle,,Fiction,,,,,4,Kindle
A Young Patriot,Jim Murphy,,Non-Fiction,,,,,7,
Across Five Aprils,Irene Hunt,,,,,,,8,
Adam of the Road,Elizabeth Gray,,,Historical Fiction,,,,,
Adventurous Four,Enid Blyton,,Fiction,Adventure,,,,3,
Aeneid,Virgil,,,Literature; History,,,,10,
African Myths and Legends,Kathleen Arnott,,,History,,,,,
Air Raid—Pearl Harbor!,Theodore Taylor,,,,,,,8,
Aldo Applesauce,Johanna Hurwitz,,Fiction,,,,,3,
Alexander the Great and His Horse,Arthur Guy Terry,,Non-Fiction,,,,,2,
Alice’s Adventures in Wonderland,Lewis Carroll,,Fiction,,,,,4,
All Creatures Great and Small,James Herriot,,,,,,,8,
All of a Kind Family,Sydney Taylor,,Fiction,,,,,1,
All Sail Set – H,Armstrong Sperry,,,,,,,8,
All Things Bright and Beautiful,James Herriot,,,,,,,8,
All Things Wise and Wonderful,James Herriot,,,,,,,8,
All-of-A-Kind Family,Sydney Taylor,,Fiction,,,,,4,
America and Vietnam: The Elephant and the Tiger,Albert Marrin,,,,,,,8,
America’s Paul Revere,Esther Forbes,,,History,,,,,
American Adventure Series,Colleen Reece,,Non-Fiction,,,,,3,
"Amos Fortune, Free Man",Elizabeth Yates,,Non-Fiction,History,,,,7,
Animal Farm,Goerge Orwell,,Non-Fiction,,,,,6,
Annals,Tacitus,,,History,,,,10,
Anne of Green Gables,Lucy Maud Montgomery,,Fiction,Historical Fiction,,,,5,
Apology,Plato,,,,,,,10,
April 1865: The Month That Saved America,Jay Winik,,,,,,,8,
Around the World in Eighty Days,Jules Verne,,Fiction,,,,,5,Kindle
As you Like it,Shakespeare,,,Literature,,,,9,
Augustine Came to Kent,Barbara Willard.,,,Historical Fiction,,,,,
Babar +,Jean DeBrunhoff,,Fiction,,,,,2,
Ballet Shoes,Noel Streatfeild,,Fiction,,,,,3,
Bard of Avon,Diane Stanley,,Non-Fiction,,,,,4,
Basher Five-two,Captain Scott O'Grady,,,,,,,8,
Basic Writings,Heidegger,,,Philosophy,,,,10,
Bells on Their Toes,Gilbreth and Carey,,,,,,,8,
Ben and Me,Robert Lawson,,Non-Fiction,,,,,4,
Ben Franklin of Old Philadelphia (Landmark),Margaret Cousins,,Non-Fiction,,,,,7,
Ben Hur,Lew Wallace,,,,,,,8,Kindle
Benjamin Franklin +,I. E. D'Aulaire,,Non-Fiction,,,,,3,
Beowulf,Frederick Rebsamen,,Fiction,,,,,4,Kindle
Beowulf: A New Telling,Robert Nye,,,Classic,,,,,
Best Short Stories of O. Henry,O. Henry,,,,,,,8,
Betsy & Billy,Carolyn Haywood,,Fiction,,,,,2,
Betsy-Tacy,Maude Loveless,,Fiction,,,,,2,
Beyond good and evil,Nietzsche,,,"Psychology
",,,,10,
BFG,Roal Dahl,,Fiction,Adventure,,,,2,
Big Red,James Kjelgaard,,Fiction,,,,,6,
Billy and Blaze,C. W. Anderson,,Fiction,,,,,2,
Black Beauty,Anna Sewell,,Fiction,,,,,4,Kindle
Black Ships Before Troy: The Story of THE ILIAD,Rosemary Sutcliffe,,,History,,,,,
Blue Willow,Doris Gates,,Fiction,,,,,5,
Blueberries for Sal,Robert McCloskey,,Fiction,,,,,2,
Born Again,Charles Colson,,,,,,,8,
Born Free,Joy Adamson,,Non-Fiction,,,,,4,
Bound for Oregon,Jean Van Leeuwen,,,,,,,8,
Brief History of Time,Steven Hawking,,Non-Fiction,Science,,,,7,
Brothers Karamazov,Dostoevesky,,,Literature,,,,10,
Bud & Me: The True Adventure of the Abernathy Boys,Alta Abernathy,,,,,,,8,
Bunnicula,Deborah Howe,,Fiction,,,,,2,
Bury My Heart at Wounded Knee,Dee Brown,,,,,,,8,
By Pike and Dyke,G. A. Henty,,Non-Fiction,,,,,7,
By Right of Conquest,G. H. Henty,,Non-Fiction,,,,,6,Kindle
Caddie Woodlawn,Carol Brink,,Fiction,,,,,5,
Caesar’s Gallic Wars,Olivia Coolidge,,,History,,,,,
Calico Bush,Rachel Field,,Fiction,,,,,7,
Calico Captive,Elizabeth Speare,,Fiction,Historical Fiction,,,,7,
Call It Courage,Armstrong Sperry,,,Historical Fiction,,,,,
Call of Duty: The Sterling Nobility of Robert E. Lee,J. Steven Wilkins,,,,,,,8,
Candy Bomber,Michael Tunnell,,Non-Fiction,,,,,6,
Canterbury Tales,retold by Geraldine McCaughrean (Oxford University Press,,,Classic,,,,,
Caps for Sale,Esphyr Slobodkina,,Fiction,,,,,2,
Captains Courageous,Rudyard Kipling,,Fiction,,,,,7,
Carry a Big Stick: The Uncommon Heroism of T. Roosevelt,George Grant,,,,,,,8,
"Carry On, Mr. Bowditch",Jean Lathan,,Non-Fiction,,,,,5,
Ceasar,Plutarch,,,History,,,,10,
Charlie and the Chocolate Factory,Roald Dahl,,Fiction,,,,,4,
Charlotte's Web,E.B. White,,Fiction,,,,,1,
Cheaper By the Dozen,Gilbreth and Carey,,,,,,,8,
Chinese Myths and Fantasies,Cyril Birch,,,History,,,,,
Christy,Catherine Marshall,,Fiction,,,,,6,
Cleopatra,Diane Stanley,,,Historical Fiction,,,,,
Collected Poems,William Wordsworth,,,Poetry,,,,,
Confessions,Augustine,,Non-Fiction,Religion,Philosophy,,,10,
Cowboy Sam,"Changler, Edna.",,Fiction,,,,,1,
"Critique of Pure Reason
",Immanuel Kant,,,Philosophy,,,,11,
Cromwell’s Boy,Erik Haugaard,,Fiction,,,,,7,
Cross-Country Cat,Mary Calhoun,,Fiction,,,,,2,
Daniel’s Duck,"Bulla, Clyde.",,Fiction,,,,,1,
Danny and the Dinosaur,"Hoff, Syd.",,Fiction,,,,,1,
Danny Dunn,Jay Williams,,Fiction,,,,,2,
Dante’s Inferno Cantos I-V,Robert Pinsky,,,Classic,,,,,
David Copperfield,Charles Dickens,,,,,,,8,
"David Livingstone, Foe of Darkness",Jeanette Eaton,,,,,,,7,
Davy Crockett: His Own Story,Davy Crockett,,,,,,,8,
Dear Mr. Henshaw,Beverly Cleary,,Fiction,,,,,5,
Destination: Moon,James Irwin,,,,,,,8,
Detectives in Togas,Henry Winterfeld,,Fiction,,,,,3,
Dick Whittington and His Cat,Marcia Brown,,Fiction,,,,,2,
Divine Comedy,Dante,,,Literature,,,,10,
Doctor De Soto,William Steig,,Fiction,,,,,2,
Doctor De Soto Goes to Africa,William Steig,,Fiction,,,,,2,
Doctor Dolittle,Hugh Lofting,,Fiction,,,,,2,
Don Quixote,Cervantes,,,Literature,,,,10,
